Np,day,age_group,ess,resampled
100000,80,65+,77924.47199583321,false
100000,81,0-5,42711.301505584604,true
100000,81,6-11,91885.47218570682,false
100000,81,12-17,90845.12093928788,false
100000,81,18-44,49580.789991944446,true
100000,81,45-64,50959.22448353379,false
100000,81,65+,64649.47521589055,false
100000,82,0-5,91224.39268077415,false
100000,82,6-11,78118.11276558561,false
100000,82,12-17,75677.1167329536,false
100000,82,18-44,90666.12066320196,false
100000,82,45-64,41413.821045696815,true
100000,82,65+,52874.58675285396,false
100000,83,0-5,76833.36487314524,false
100000,83,6-11,65032.534041035105,false
100000,83,12-17,61694.14140856018,false
100000,83,18-44,75329.60749613089,false
100000,83,45-64,91200.10063953132,false
100000,83,65+,43104.484685218784,true
100000,84,0-5,63486.51971572958,false
100000,84,6-11,53919.797618358105,false
100000,84,12-17,50049.50334587832,false
100000,84,18-44,61235.415343113935,false
100000,84,45-64,76613.59692215887,false
100000,84,65+,91686.21603534321,false
100000,85,0-5,52035.91282613786,false
100000,85,6-11,44588.70472751326,true
100000,85,12-17,40575.64185720776,true
100000,85,18-44,49544.41370866044,true
100000,85,45-64,62838.477796171384,false
100000,85,65+,77651.54107535623,false
100000,86,0-5,42371.01967885409,true
100000,86,6-11,91675.85341296594,false
100000,86,12-17,90925.32749531388,false
100000,86,18-44,90636.60198426167,false
100000,86,45-64,51103.83706570956,false
100000,86,65+,64121.00515560608,false
100000,87,0-5,91383.9476985238,false
100000,87,6-11,77853.09382016167,false
100000,87,12-17,75848.79310083382,false
100000,87,18-44,75252.12847315136,false
100000,87,45-64,41600.358473514214,true
100000,87,65+,52576.403191456935,false
100000,88,0-5,77110.33418733593,false
100000,88,6-11,64882.11561409641,false
100000,88,12-17,61737.71367660774,false
100000,88,18-44,61036.779394619676,false
100000,88,45-64,91321.97120710534,false
100000,88,65+,43107.055864630114,true
100000,89,0-5,63464.86186983341,false
100000,89,6-11,53727.99732255696,false
100000,89,12-17,50053.269792323226,false
100000,89,18-44,49324.16967249508,true
100000,89,45-64,76600.91899568816,false
100000,89,65+,91652.77345295262,false
100000,90,0-5,51693.78662924305,false
100000,90,6-11,44310.53918704474,true
100000,90,12-17,40524.44617529434,true
100000,90,18-44,90791.77330572432,false
100000,90,45-64,62743.42041764991,false
100000,90,65+,77665.70545956124,false
100000,91,0-5,42135.89934920365,true
100000,91,6-11,91994.8036648317,false
100000,91,12-17,90919.80468073284,false
100000,91,18-44,75466.2038367104,false
100000,91,45-64,51200.36885238274,false
100000,91,65+,64292.10838940157,false
100000,92,0-5,91415.19348648997,false
100000,92,6-11,78390.17121906928,false
100000,92,12-17,76016.40977609043,false
100000,92,18-44,61187.342656469664,false
100000,92,45-64,41784.97488094523,true
100000,92,65+,52749.62870956515,false
100000,93,0-5,76931.40627163133,false
100000,93,6-11,65202.67183819146,false
100000,93,12-17,62157.43045056202,false
100000,93,18-44,49278.3746905618,true
100000,93,45-64,91083.86074984244,false
100000,93,65+,43100.49268876621,true
100000,94,0-5,63204.52210821198,false
100000,94,6-11,53817.63682871711,false
100000,94,12-17,50549.52736126369,false
100000,94,18-44,90732.74346723023,false
100000,94,45-64,76463.7379586431,false
100000,94,65+,91536.42449717826,false
100000,95,0-5,51851.56364380378,false
100000,95,6-11,44519.28641577904,true
100000,95,12-17,41084.24581350255,true
100000,95,18-44,75480.5463948294,false
100000,95,45-64,62797.29495188587,false
100000,95,65+,77621.66520692974,false
100000,96,0-5,42638.92956462275,true
100000,96,6-11,92203.06086245453,false
100000,96,12-17,91200.90115326854,false
100000,96,18-44,61402.418341593446,false
100000,96,45-64,51274.72070005479,false
100000,96,65+,64424.904314418585,false
100000,97,0-5,91459.10192123502,false
100000,97,6-11,78843.67027225062,false
100000,97,12-17,76244.64689444205,false
100000,97,18-44,49619.411246182586,true
100000,97,45-64,41690.15399293061,true
100000,97,65+,52966.96036191627,false
100000,98,0-5,77056.4017872897,false
100000,98,6-11,65689.66005160325,false
100000,98,12-17,62152.96142370329,false
100000,98,18-44,90655.70187701422,false
100000,98,45-64,90784.98521217518,false
100000,98,65+,43268.10018668709,true
100000,99,0-5,63636.75377848926,false
100000,99,6-11,54520.030821066706,false
100000,99,12-17,50474.98253424639,false
100000,99,18-44,75422.19196970268,false
100000,99,45-64,75988.76612133547,false
100000,99,65+,91716.12458986537,false
100000,100,0-5,52364.804428056595,false
100000,100,6-11,45349.57572794523,true
100000,100,12-17,41097.773510185194,true
100000,100,18-44,61252.9397584408,false
100000,100,45-64,62387.583032395436,false
100000,100,65+,77954.2566440928,false
100000,101,0-5,42969.71966624446,true
100000,101,6-11,92222.62129392376,false
100000,101,12-17,91088.40968063725,false
100000,101,18-44,49364.558126225515,true
100000,101,45-64,50801.543533004835,false
100000,101,65+,64562.04670950389,false
100000,102,0-5,91301.25285127183,false
100000,102,6-11,78875.03275294197,false
100000,102,12-17,76104.05030856161,false
100000,102,18-44,90505.31220013909,false
100000,102,45-64,41156.15549879012,true
100000,102,65+,52712.06271990542,false
100000,103,0-5,77085.18752111397,false
100000,103,6-11,66196.37420054403,false
100000,103,12-17,62163.76931594185,false
100000,103,18-44,75044.85854205914,false
100000,103,45-64,91151.63625176527,false
100000,103,65+,42944.60352191715,true
100000,104,0-5,63790.613055133595,false
100000,104,6-11,55369.095557556815,false
100000,104,12-17,50638.788527027566,false
100000,104,18-44,60945.047114104316,false
100000,104,45-64,76520.34781744938,false
100000,104,65+,91819.633638896,false
100000,105,0-5,52426.85677810241,false
100000,105,6-11,46231.93460126661,true
100000,105,12-17,41275.400701310115,true
100000,105,18-44,49275.82123167193,true
100000,105,45-64,62724.069312786174,false
100000,105,65+,78012.46860090765,false
100000,106,0-5,42914.236763922716,true
100000,106,6-11,92184.40559485751,false
100000,106,12-17,91144.30933965197,false
