scenario,day,quantity,series,mid,lo,hi
step,93,obs,true,260,260,260
step,93,obs,PS,257.995262,195.063468,350.829256
step,93,obs,PF,257.995262,195.063468,350.829256
step,94,Rt,true,1.195660,1.195660,1.195660
step,94,Rt,PS,1.175691,0.753870,1.802107
step,94,Rt,PF,1.139963,0.448319,2.658294
step,94,obs,true,273,273,273
step,94,obs,PS,271.774599,205.364345,368.096313
step,94,obs,PF,271.774599,205.364345,368.096313
step,95,Rt,true,1.195620,1.195620,1.195620
step,95,Rt,PS,1.176427,0.746977,1.794221
step,95,Rt,PF,1.137899,0.442519,2.658622
step,95,obs,true,288,288,288
step,95,obs,PS,285.977796,216.395947,387.977014
step,95,obs,PF,285.977796,216.395947,387.977014
step,96,Rt,true,1.195579,1.195579,1.195579
step,96,Rt,PS,1.177569,0.737517,1.755490
step,96,Rt,PF,1.145413,0.445955,2.682342
step,96,obs,true,303,303,303
step,96,obs,PS,300.974780,228.257383,408.927854
step,96,obs,PF,300.974780,228.257383,408.927854
step,97,Rt,true,1.195536,1.195536,1.195536
step,97,Rt,PS,1.167711,0.722325,1.796013
step,97,Rt,PF,1.142550,0.445064,2.681801
step,97,obs,true,319,319,319
step,97,obs,PS,316.801525,240.000328,431.040986
step,97,obs,PF,316.801525,240.000328,431.040986
