day,age_group,Rj_est,true_Rj
104,0-5,0.888089,0.887073
104,6-11,0.929091,0.929301
104,12-17,1.076437,1.077588
104,18-44,0.729951,0.735371
104,45-64,0.741671,0.749584
104,65+,0.670030,0.679557
105,0-5,0.886558,0.885219
105,6-11,0.927805,0.927687
105,12-17,1.075165,1.075908
105,18-44,0.730219,0.735325
105,45-64,0.742534,0.750119
105,65+,0.671395,0.680629
106,0-5,0.884953,0.883285
106,6-11,0.926442,0.925991
106,12-17,1.073799,1.074125
106,18-44,0.730412,0.735199
106,45-64,0.743316,0.750569
106,65+,0.672687,0.681624
107,0-5,0.883272,0.881270
107,6-11,0.925002,0.924214
107,12-17,1.072334,1.072239
107,18-44,0.730527,0.734992
107,45-64,0.744016,0.750934
107,65+,0.673905,0.682541
108,0-5,0.881513,0.879174
108,6-11,0.923482,0.922355
108,12-17,1.070770,1.070249
108,18-44,0.730563,0.734703
108,45-64,0.744634,0.751212
108,65+,0.675047,0.683379
109,0-5,0.879675,0.876996
109,6-11,0.921881,0.920412
109,12-17,1.069105,1.068153
109,18-44,0.730520,0.734332
109,45-64,0.745167,0.751402
109,65+,0.676112,0.684136
110,0-5,0.877758,0.874736
110,6-11,0.920199,0.918385
110,12-17,1.067338,1.065951
110,18-44,0.730397,0.733877
110,45-64,0.745615,0.751505
110,65+,0.677099,0.684813
111,0-5,0.875759,0.872393
111,6-11,0.918435,0.916275
111,12-17,1.065466,1.063643
111,18-44,0.730192,0.733339
111,45-64,0.745976,0.751518
111,65+,0.678007,0.685408
112,0-5,0.873678,0.869967
112,6-11,0.916588,0.914080
112,12-17,1.063490,1.061227
112,18-44,0.729904,0.732717
112,45-64,0.746250,0.751442
112,65+,0.678835,0.685921
113,0-5,0.871516,0.867459
113,6-11,0.914656,0.911801
113,12-17,1.061408,1.058705
113,18-44,0.729534,0.732010
113,45-64,0.746437,0.751275
113,65+,0.679583,0.686351
114,0-5,0.869271,0.864867
114,6-11,0.912641,0.909438
114,12-17,1.059220,1.056074
114,18-44,0.729080,0.731218
114,45-64,0.746534,0.751019
114,65+,0.680250,0.686697
115,0-5,0.866943,0.862192
115,6-11,0.910542,0.906990
115,12-17,1.056924,1.053337
115,18-44,0.728542,0.730341
115,45-64,0.746542,0.750671
115,65+,0.680834,0.686960
116,0-5,0.864531,0.859434
116,6-11,0.908358,0.904458
116,12-17,1.054522,1.050492
116,18-44,0.727919,0.729378
116,45-64,0.746461,0.750232
116,65+,0.681335,0.687138
117,0-5,0.862037,0.856595
117,6-11,0.906090,0.901843
117,12-17,1.052012,1.047540
117,18-44,0.727212,0.728330
117,45-64,0.746288,0.749702
117,65+,0.681754,0.687231
118,0-5,0.859460,0.853673
118,6-11,0.903737,0.899145
118,12-17,1.049395,1.044481
118,18-44,0.726420,0.727197
118,45-64,0.746026,0.749080
118,65+,0.682088,0.687239
119,0-5,0.856800,0.850670
119,6-11,0.901300,0.896363
119,12-17,1.046671,1.041317
119,18-44,0.725542,0.725979
119,45-64,0.745672,0.748366
119,65+,0.682338,0.687161
120,0-5,0.854057,0.847586
120,6-11,0.898779,0.893500
120,12-17,1.043839,1.038046
120,18-44,0.724579,0.724675
120,45-64,0.745227,0.747560
120,65+,0.682504,0.686998
121,0-5,0.851233,0.844423
121,6-11,0.896175,0.890555
121,12-17,1.040901,1.034671
121,18-44,0.723531,0.723286
121,45-64,0.744690,0.746663
121,65+,0.682585,0.686749
122,0-5,0.848327,0.841180
122,6-11,0.893487,0.887529
122,12-17,1.037856,1.031192
122,18-44,0.722397,0.721812
122,45-64,0.744062,0.745674
122,65+,0.682580,0.686414
123,0-5,0.845340,0.837858
123,6-11,0.890717,0.884423
123,12-17,1.034706,1.027609
123,18-44,0.721179,0.720253
123,45-64,0.743342,0.744593
123,65+,0.682490,0.685993
124,0-5,0.842272,0.834459
124,6-11,0.887866,0.881238
124,12-17,1.031451,1.023924
124,18-44,0.719875,0.718610
124,45-64,0.742531,0.743421
124,65+,0.682315,0.685486
125,0-5,0.839126,0.830984
125,6-11,0.884933,0.877975
125,12-17,1.028092,1.020138
125,18-44,0.718487,0.716884
125,45-64,0.741628,0.742158
125,65+,0.682053,0.684892
126,0-5,0.835900,0.827433
126,6-11,0.881920,0.874635
126,12-17,1.024629,1.016252
126,18-44,0.717014,0.715074
126,45-64,0.740634,0.740804
126,65+,0.681706,0.684213
127,0-5,0.832597,0.823808
127,6-11,0.878827,0.871218
127,12-17,1.021064,1.012266
127,18-44,0.715457,0.713181
127,45-64,0.739549,0.739360
127,65+,0.681274,0.683448
128,0-5,0.829218,0.820110
128,6-11,0.875657,0.867726
128,12-17,1.017398,1.008184
128,18-44,0.713817,0.711206
128,45-64,0.738373,0.737825
128,65+,0.680756,0.682598
129,0-5,0.825762,0.816340
129,6-11,0.872408,0.864161
129,12-17,1.013631,1.004005
129,18-44,0.712094,0.709149
129,45-64,0.737106,0.736201
129,65+,0.680152,0.681662
130,0-5,0.822233,0.812499
130,6-11,0.869084,0.860523
130,12-17,1.009766,0.999731
130,18-44,0.710288,0.707012
130,45-64,0.735750,0.734487
130,65+,0.679463,0.680640
131,0-5,0.818630,0.808589
131,6-11,0.865684,0.856814
131,12-17,1.005803,0.995364
131,18-44,0.708400,0.704794
131,45-64,0.734304,0.732686
131,65+,0.678689,0.679534
132,0-5,0.814955,0.804612
132,6-11,0.862210,0.853034
132,12-17,1.001744,0.990905
132,18-44,0.706431,0.702497
132,45-64,0.732769,0.730796
132,65+,0.677830,0.678343
133,0-5,0.811210,0.800568
133,6-11,0.858664,0.849187
133,12-17,0.997590,0.986356
133,18-44,0.704381,0.700121
133,45-64,0.731145,0.728819
133,65+,0.676886,0.677069
134,0-5,0.807395,0.796459
134,6-11,0.855046,0.845272
134,12-17,0.993343,0.981719
134,18-44,0.702252,0.697667
134,45-64,0.729434,0.726755
134,65+,0.675858,0.675710
135,0-5,0.803512,0.792287
135,6-11,0.851359,0.841291
135,12-17,0.989005,0.976995
135,18-44,0.700044,0.695137
135,45-64,0.727635,0.724606
135,65+,0.674747,0.674269
136,0-5,0.799563,0.788053
136,6-11,0.847602,0.837247
136,12-17,0.984577,0.972187
136,18-44,0.697758,0.692530
136,45-64,0.725750,0.722372
136,65+,0.673552,0.672745
137,0-5,0.795550,0.783759
137,6-11,0.843779,0.833140
137,12-17,0.980060,0.967295
137,18-44,0.695394,0.689849
137,45-64,0.723779,0.720053
137,65+,0.672274,0.671138
138,0-5,0.791473,0.779407
138,6-11,0.839890,0.828972
138,12-17,0.975458,0.962323
138,18-44,0.692954,0.687094
138,45-64,0.721723,0.717652
138,65+,0.670914,0.669451
139,0-5,0.787334,0.774999
139,6-11,0.835938,0.824745
139,12-17,0.970771,0.957272
139,18-44,0.690439,0.684266
139,45-64,0.719583,0.715168
139,65+,0.669472,0.667682
140,0-5,0.783136,0.770536
140,6-11,0.831922,0.820460
140,12-17,0.966001,0.952143
140,18-44,0.687850,0.681367
140,45-64,0.717360,0.712603
140,65+,0.667950,0.665834
141,0-5,0.778880,0.766019
141,6-11,0.827846,0.816119
141,12-17,0.961151,0.946940
141,18-44,0.685188,0.678397
141,45-64,0.715054,0.709958
141,65+,0.666346,0.663906
142,0-5,0.774567,0.761452
142,6-11,0.823712,0.811725
142,12-17,0.956222,0.941664
142,18-44,0.682454,0.675358
142,45-64,0.712668,0.707233
142,65+,0.664664,0.661899
143,0-5,0.770199,0.756835
143,6-11,0.819519,0.807278
143,12-17,0.951216,0.936317
143,18-44,0.679649,0.672250
143,45-64,0.710201,0.704430
143,65+,0.662902,0.659815
144,0-5,0.765779,0.752171
144,6-11,0.815272,0.802781
144,12-17,0.946137,0.930902
144,18-44,0.676774,0.669076
144,45-64,0.707655,0.701551
144,65+,0.661062,0.657654
145,0-5,0.761308,0.747461
145,6-11,0.810970,0.798236
145,12-17,0.940985,0.925421
145,18-44,0.673831,0.665837
145,45-64,0.705031,0.698596
145,65+,0.659145,0.655417
146,0-5,0.756787,0.742708
146,6-11,0.806617,0.793643
146,12-17,0.935763,0.919875
146,18-44,0.670821,0.662533
146,45-64,0.702330,0.695566
146,65+,0.657152,0.653105
147,0-5,0.752220,0.737913
147,6-11,0.802213,0.789006
