day,date,wk,age_group,obs,dR_med,dR_lo,dR_hi,Rj_med,Rj_lo,Rj_hi,Rj_renewal
23,2016-09-19,39,18-44,45.0000,38.2483,31.9058,46.3694,1.1263,0.9598,1.3184,1.2484
23,2016-09-19,39,45-64,37.4286,31.2774,25.9225,37.7791,1.2236,1.0391,1.4350,1.3466
23,2016-09-19,39,65+,21.7143,18.1399,14.6780,22.1894,1.3323,1.1230,1.5785,1.4834
24,2016-09-20,39,0-5,10.7143,8.9676,6.9032,11.4595,1.3332,1.1175,1.5956,1.6659
24,2016-09-20,39,6-11,13.7143,11.4507,8.9696,14.5500,1.6890,1.4375,1.9814,2.0949
24,2016-09-20,39,12-17,11.5714,8.6512,6.6250,11.4977,1.6278,1.3893,1.9146,2.0983
24,2016-09-20,39,18-44,50.7143,40.3012,33.7546,48.4554,1.0272,0.8807,1.2061,1.2699
24,2016-09-20,39,45-64,42.7143,33.3611,27.6267,39.5770,1.1152,0.9559,1.3087,1.3788
24,2016-09-20,39,65+,25.4286,18.9733,15.4605,23.0243,1.2180,1.0360,1.4375,1.5332
25,2016-09-21,39,0-5,9.8571,8.7548,6.7122,11.2138,1.2177,1.0252,1.4527,1.4707
25,2016-09-21,39,6-11,14.1429,11.6330,9.0427,14.7260,1.5370,1.3083,1.7992,1.9097
25,2016-09-21,39,12-17,11.4286,8.8427,6.8057,11.6251,1.4703,1.2537,1.7291,1.8524
25,2016-09-21,39,18-44,51.0000,42.2140,35.3638,50.2290,0.9222,0.7931,1.0773,1.1308
25,2016-09-21,39,45-64,42.8571,35.6478,29.7072,42.4756,1.0001,0.8539,1.1693,1.2211
25,2016-09-21,39,65+,25.1429,19.8052,16.1992,24.2571,1.0987,0.9267,1.2885,1.3488
26,2016-09-22,39,0-5,10.0000,8.6873,6.6875,11.1176,1.1186,0.9400,1.3344,1.3796
26,2016-09-22,39,6-11,14.2857,11.8160,9.2201,14.9007,1.3997,1.1934,1.6447,1.7685
26,2016-09-22,39,12-17,11.2857,9.0666,7.0491,11.7141,1.3216,1.1251,1.5537,1.6799
26,2016-09-22,39,18-44,51.2857,43.8222,36.7802,52.2149,0.8267,0.7094,0.9669,1.0391
26,2016-09-22,39,45-64,43.1429,37.8017,31.4672,45.1910,0.8928,0.7609,1.0498,1.1166
26,2016-09-22,39,65+,25.7143,20.8167,17.1432,25.2177,0.9821,0.8293,1.1633,1.2378
27,2016-09-23,39,0-5,9.2857,8.7460,6.7580,11.2260,1.0410,0.8734,1.2448,1.2485
27,2016-09-23,39,6-11,14.2857,11.9781,9.4444,15.1216,1.2918,1.0989,1.5186,1.6353
27,2016-09-23,39,12-17,11.8571,9.2600,7.3228,11.9648,1.2053,1.0263,1.4177,1.5854
27,2016-09-23,39,18-44,49.7143,45.0833,37.7962,53.9304,0.7521,0.6462,0.8795,0.9505
27,2016-09-23,39,45-64,43.8571,39.6428,33.3286,47.5150,0.8091,0.6915,0.9495,1.0225
27,2016-09-23,39,65+,23.4286,21.7600,17.9227,26.3963,0.8952,0.7547,1.0628,1.1006
28,2016-09-24,39,0-5,8.5714,8.8740,6.8892,11.3855,0.9978,0.8351,1.1907,1.1138
28,2016-09-24,39,6-11,12.7143,12.1360,9.6291,15.3169,1.2254,1.0402,1.4414,1.4288
28,2016-09-24,39,12-17,10.4286,9.3804,7.3857,12.0581,1.1294,0.9593,1.3261,1.3822
28,2016-09-24,39,18-44,45.0000,45.5282,38.3818,54.5992,0.7069,0.6070,0.8269,0.8464
28,2016-09-24,39,45-64,42.2857,40.9185,34.5525,49.2873,0.7584,0.6476,0.8895,0.9228
28,2016-09-24,39,65+,23.4286,22.5019,18.4213,27.1247,0.8443,0.7125,0.9957,1.0152
29,2016-09-25,40,0-5,8.1429,9.0208,7.0078,11.6298,0.9798,0.8169,1.1723,1.0345
29,2016-09-25,40,6-11,12.2857,12.2081,9.7552,15.2940,1.1928,1.0140,1.4085,1.3225
29,2016-09-25,40,12-17,8.7143,9.4068,7.4856,12.0505,1.0811,0.9194,1.2665,1.1985
29,2016-09-25,40,18-44,41.4286,45.5131,38.2986,54.0591,0.6831,0.5863,0.7978,0.7648
29,2016-09-25,40,45-64,37.8571,41.4469,34.9507,49.7459,0.7306,0.6260,0.8569,0.8257
29,2016-09-25,40,65+,22.1429,22.9297,18.5643,27.7554,0.8164,0.6941,0.9680,0.9212
30,2016-09-26,40,0-5,8.0000,9.1336,7.2003,11.7664,0.9859,0.8215,1.1749,1.0343
30,2016-09-26,40,6-11,11.1429,12.1871,9.7330,15.2243,1.1945,1.0124,1.4129,1.2754
30,2016-09-26,40,12-17,8.8571,9.2904,7.3565,11.8847,1.0610,0.9032,1.2500,1.2097
30,2016-09-26,40,18-44,41.2857,44.9863,37.8005,53.5353,0.6794,0.5827,0.7935,0.7604
30,2016-09-26,40,45-64,37.7143,41.1565,34.8723,49.1539,0.7251,0.6182,0.8533,0.8179
30,2016-09-26,40,65+,20.2857,23.0694,18.8881,27.9867,0.8198,0.6887,0.9767,0.8883
31,2016-09-27,40,0-5,8.2857,9.1859,7.2287,11.8723,1.0093,0.8404,1.2066,1.0728
31,2016-09-27,40,6-11,11.1429,12.0836,9.6252,15.0267,1.2192,1.0366,1.4442,1.3035
31,2016-09-27,40,12-17,8.7143,9.0124,7.0748,11.5430,1.0703,0.9105,1.2659,1.2253
31,2016-09-27,40,18-44,40.7143,43.9298,36.8937,52.3280,0.6918,0.5928,0.8081,0.7733
31,2016-09-27,40,45-64,37.1429,40.2922,33.9970,48.1312,0.7383,0.6297,0.8665,0.8301
31,2016-09-27,40,65+,20.7143,23.0702,19.0567,28.0912,0.8437,0.7105,1.0024,0.9103
32,2016-09-28,40,0-5,9.0000,9.1703,7.1142,11.7574,1.0461,0.8699,1.2610,1.1449
32,2016-09-28,40,6-11,11.2857,11.9052,9.4583,14.9590,1.2669,1.0749,1.5033,1.3494
32,2016-09-28,40,12-17,7.4286,8.6560,6.7519,11.0616,1.0986,0.9303,1.2938,1.1911
32,2016-09-28,40,18-44,40.8571,42.4806,35.8867,50.9054,0.7148,0.6099,0.8374,0.7980
32,2016-09-28,40,45-64,37.4286,38.8914,32.8480,46.3848,0.7635,0.6487,0.8951,0.8521
32,2016-09-28,40,65+,21.1429,22.9428,19.0185,27.9222,0.8833,0.7425,1.0509,0.9423
33,2016-09-29,40,0-5,9.2857,9.1209,7.1020,11.5767,1.0948,0.9150,1.3153,1.1807
33,2016-09-29,40,6-11,11.1429,11.7889,9.3647,14.7350,1.3349,1.1355,1.5762,1.3747
33,2016-09-29,40,12-17,7.5714,8.2552,6.4223,10.6020,1.1434,0.9698,1.3483,1.2319
33,2016-09-29,40,18-44,41.0000,40.9874,34.6951,49.1178,0.7494,0.6434,0.8750,0.8163
33,2016-09-29,40,45-64,37.5714,37.4691,31.2864,44.5241,0.8034,0.6846,0.9416,0.8697
33,2016-09-29,40,65+,20.7143,22.8964,18.8050,27.8158,0.9431,0.7957,1.1254,0.9533
34,2016-09-30,40,0-5,8.2857,9.0833,7.0634,11.5231,1.1652,0.9727,1.3974,1.0115
34,2016-09-30,40,6-11,8.4286,11.7449,9.2630,14.7886,1.4285,1.2111,1.6857,1.1039
34,2016-09-30,40,12-17,5.7143,7.9003,6.1188,10.1447,1.2137,1.0297,1.4280,0.9813
34,2016-09-30,40,18-44,34.1429,39.6024,33.2246,47.3052,0.8025,0.6873,0.9374,0.6684
34,2016-09-30,40,45-64,28.8571,36.0095,30.0215,42.9293,0.8625,0.7348,1.0144,0.6992
34,2016-09-30,40,65+,16.2857,23.0773,18.8818,27.9805,1.0245,0.8600,1.2192,0.7638
35,2016-10-01,40,0-5,8.1429,9.0803,7.0701,11.6168,1.2354,1.0302,1.4800,1.0975
35,2016-10-01,40,6-11,10.8571,11.7780,9.1659,14.8328,1.5246,1.2966,1.8015,1.3550
35,2016-10-01,40,12-17,6.1429,7.5881,5.8433,9.8089,1.2910,1.0965,1.5182,1.1339
35,2016-10-01,40,18-44,36.4286,38.5520,32.2348,46.1448,0.8575,0.7352,0.9978,0.7696
35,2016-10-01,40,45-64,31.0000,34.8663,28.8319,41.6958,0.9252,0.7891,1.0830,0.8208
35,2016-10-01,40,65+,21.8571,23.5892,19.2744,28.3875,1.1090,0.9323,1.3244,0.9595
36,2016-10-02,41,0-5,8.7143,9.0899,7.0285,11.6875,1.3033,1.0879,1.5625,1.1830
36,2016-10-02,41,6-11,11.8571,11.9320,9.3590,15.0544,1.6185,1.3704,1.9041,1.4875
36,2016-10-02,41,12-17,7.1429,7.3296,5.6109,9.5106,1.3694,1.1671,1.6075,1.2934
36,2016-10-02,41,18-44,36.4286,37.6202,31.5292,45.0901,0.9120,0.7810,1.0594,0.8353
36,2016-10-02,41,45-64,33.8571,34.0636,28.2065,40.8279,0.9860,0.8421,1.1495,0.9049
36,2016-10-02,41,65+,23.8571,24.3374,19.9611,29.4750,1.1888,0.9976,1.4133,1.0631
37,2016-10-03,41,0-5,8.7143,9.1487,7.0780,11.7878,1.3664,1.1484,1.6352,1.1972
37,2016-10-03,41,6-11,12.1429,12.1682,9.4914,15.4844,1.7034,1.4461,2.0113,1.5104
37,2016-10-03,41,12-17,5.8571,7.1365,5.4248,9.3385,1.4420,1.2274,1.6901,1.2221
37,2016-10-03,41,18-44,36.2857,37.1306,30.9625,44.6692,0.9605,0.8266,1.1243,0.8428
37,2016-10-03,41,45-64,32.8571,33.6095,27.6943,40.3474,1.0404,0.8906,1.2217,0.9153
37,2016-10-03,41,65+,26.7143,25.2613,20.7095,30.9003,1.2596,1.0604,1.4959,1.1212
38,2016-10-04,41,0-5,9.1429,9.3066,7.1946,11.9362,1.4178,1.1937,1.6820,1.2402
38,2016-10-04,41,6-11,11.5714,12.5820,9.9526,15.9051,1.7734,1.5069,2.0850,1.4970
38,2016-10-04,41,12-17,6.4286,7.0439,5.3462,9.1928,1.5058,1.2846,1.7662,1.2869
38,2016-10-04,41,18-44,37.7143,37.2833,31.2562,44.7752,1.0041,0.8637,1.1708,0.8632
38,2016-10-04,41,45-64,33.2857,33.6874,27.7253,40.4627,1.0897,0.9320,1.2738,0.9332
38,2016-10-04,41,65+,27.0000,26.5573,21.8081,32.6330,1.3191,1.1054,1.5572,1.1269
39,2016-10-05,41,0-5,9.1429,9.5110,7.3750,12.2077,1.4494,1.2202,1.7186,1.2304
39,2016-10-05,41,6-11,13.0000,13.0883,10.3192,16.4026,1.8063,1.5380,2.1294,1.5613
39,2016-10-05,41,12-17,7.2857,7.0332,5.2906,9.1719,1.5440,1.3168,1.8071,1.3484
39,2016-10-05,41,18-44,37.0000,37.9773,31.8280,45.7816,1.0290,0.8856,1.2010,0.8593
39,2016-10-05,41,45-64,33.1429,34.2590,28.2905,41.2612,1.1181,0.9569,1.3077,0.9266
39,2016-10-05,41,65+,27.0000,28.1147,23.1968,34.3962,1.3461,1.1369,1.5946,1.1090
40,2016-10-06,41,0-5,9.5714,9.8298,7.6185,12.4671,1.4576,1.2282,1.7266,1.2409
40,2016-10-06,41,6-11,13.2857,13.6958,10.8175,17.0896,1.8149,1.5497,2.1270,1.5525
40,2016-10-06,41,12-17,7.2857,7.1506,5.3737,9.2714,1.5567,1.3330,1.8226,1.3373
40,2016-10-06,41,18-44,36.5714,39.2191,32.7320,47.2840,1.0357,0.8936,1.2009,0.8516
40,2016-10-06,41,45-64,33.4286,35.5074,29.2342,43.1650,1.1250,0.9641,1.3123,0.9170
40,2016-10-06,41,65+,27.0000,29.9201,24.6045,36.4564,1.3469,1.1377,1.5949,1.0922
41,2016-10-07,41,0-5,11.5714,10.1462,7.8961,12.8907,1.4305,1.2058,1.7029,1.5142
41,2016-10-07,41,6-11,17.0000,14.3353,11.3104,18.0178,1.7769,1.5164,2.0747,1.9380
41,2016-10-07,41,12-17,9.4286,7.2801,5.5193,9.4706,1.5285,1.3067,1.7872,1.6862
41,2016-10-07,41,18-44,45.1429,40.7779,34.1514,49.0064,1.0133,0.8732,1.1767,1.0626
41,2016-10-07,41,45-64,41.5714,37.0059,30.6115,45.1490,1.1004,0.9398,1.2808,1.1603
41,2016-10-07,41,65+,38.2857,31.7544,26.0765,38.4121,1.3093,1.1040,1.5561,1.4373
42,2016-10-08,41,0-5,12.4286,10.5439,8.2174,13.3632,1.3895,1.1712,1.6577,1.4794
42,2016-10-08,41,6-11,16.4286,14.9923,11.8038,18.8105,1.7102,1.4618,2.0088,1.7949
42,2016-10-08,41,12-17,9.1429,7.4347,5.6556,9.6842,1.4754,1.2639,1.7286,1.5710
42,2016-10-08,41,18-44,45.5714,42.5153,35.6070,50.8139,0.9742,0.8416,1.1354,1.0055
