day,age_group,incidence,incidence_per1000,incidence_per100k
76,45-64,20769.213518,1.230625,123.062462
76,65+,4319.064232,0.466055,46.605472
77,0-5,3670.562094,2.048547,204.854709
77,6-11,1897.661917,0.700872,70.087167
77,12-17,6584.405666,2.375243,237.524275
77,18-44,34352.871619,1.906024,190.602361
77,45-64,19470.148163,1.153652,115.365195
77,65+,4072.973328,0.439500,43.949993
78,0-5,3367.148007,1.879211,187.921116
78,6-11,1736.589252,0.641382,64.138201
78,12-17,6012.808321,2.169046,216.904609
78,18-44,32032.081574,1.777258,177.725765
78,45-64,18246.799990,1.081166,108.116570
78,65+,3839.174205,0.414272,41.427151
79,0-5,3090.238440,1.724667,172.466745
79,6-11,1590.035166,0.587255,58.725456
79,12-17,5494.232166,1.981976,198.197617
79,18-44,29865.376471,1.657041,165.704089
79,45-64,17096.113497,1.012985,101.298483
79,65+,3617.389964,0.390340,39.033957
80,0-5,2837.380848,1.583547,158.354719
80,6-11,1456.582078,0.537966,53.796575
80,12-17,5023.560512,1.812187,181.218720
80,18-44,27843.725495,1.544872,154.487226
80,45-64,16014.866088,0.948918,94.891838
80,65+,3407.283915,0.367668,36.766778
81,0-5,2606.358230,1.454613,145.461306
81,6-11,1334.966727,0.493049,49.304903
81,12-17,4596.148715,1.658004,165.800369
81,18-44,25958.338424,1.440264,144.026405
81,45-64,14999.740158,0.888770,88.876979
81,65+,3208.473716,0.346215,34.621488
82,0-5,2395.166974,1.336747,133.674686
82,6-11,1224.060502,0.452088,45.208755
82,12-17,4207.792174,1.517909,151.790888
82,18-44,24200.722704,1.342745,134.274507
82,45-64,14047.381915,0.832340,83.234033
82,65+,3020.543563,0.325936,32.593601
83,0-5,2201.996369,1.228938,122.893800
83,6-11,1122.852833,0.414708,41.470809
83,12-17,3854.692944,1.390533,139.053271
83,18-44,22562.724630,1.251863,125.186291
83,45-64,13154.448672,0.779432,77.943194
83,65+,2843.054607,0.306784,30.678382
84,0-5,2025.209824,1.130273,113.027313
84,6-11,1030.437079,0.380576,38.057578
84,12-17,3533.426253,1.274640,127.463973
84,18-44,21036.557339,1.167186,116.718554
84,45-64,12317.646236,0.729849,72.984943
84,65+,2675.553738,0.288709,28.870940
85,0-5,1863.327747,1.039926,103.992646
85,6-11,945.998449,0.349390,34.938969
85,12-17,3240.907839,1.169117,116.911734
85,18-44,19614.818001,1.088302,108.830222
85,45-64,11533.757881,0.683402,68.340221
85,65+,2517.580922,0.271663,27.166312
86,0-5,1715.012017,0.957151,95.715119
86,6-11,868.803605,0.320879,32.087899
86,12-17,2974.362717,1.072964,107.296449
86,18-44,18290.496243,1.014824,101.482398
86,45-64,10799.666217,0.639906,63.990556
86,65+,2368.675246,0.255595,25.559524
87,0-5,1579.051949,0.881272,88.127164
