Np,L,sigma_rw,resample,mape_Rj,rmse_Rj,bias_Rj,cov_Rj,width_Rj,mape_dR,cov_dR,ess_min,ess_med,uniq_min,runtime_s,mape_Rj_0_5,mape_Rj_6_11,mape_Rj_12_17,mape_Rj_18_44,mape_Rj_45_64,mape_Rj_65
1000000,16,0.15,every,1.2072326876170956,0.01537224684999699,0.010991457551360601,100.0,0.3020458147406702,0.26513123171838915,100.0,28800.25809563317,915449.4627033898,316,520.9743318557739,1.3337755808417013,1.5618830054631727,1.1854022272906706,1.1920779449602192,1.0333844921085593,0.9368728750382511
1000000,16,0.2,every,1.4314315183709148,0.017078460876075147,0.013743322168292714,100.0,0.3718352419922852,0.28026678753693574,100.0,85877.10593947055,890708.2757555351,2814,522.1676499843597,1.5737045688248124,1.7777112973751064,1.3929787029777474,1.4319234910090048,1.2549899111358598,1.1572811389029556
1000000,16,0.25,every,1.6708998712054635,0.019183707813719964,0.016263032930037596,100.0,0.43776847343709296,0.31197825159563025,100.0,174881.35493101043,868136.1783743794,8676,518.664873123169,1.842935129230053,2.0109113216949455,1.5913237856134517,1.7030181261783086,1.496748493490362,1.38046237102566
1000000,16,0.3,every,1.9106514714461584,0.021358659495207738,0.018564974790507664,100.0,0.5007012743188802,0.3376498173923559,100.0,267027.6123890555,847396.4512084298,15706,522.4836127758026,2.110046977061067,2.246862587207782,1.803071820824644,1.9700349129950092,1.735291152191358,1.5986013783970914
1000000,24,0.1,every,1.1101569607863901,0.019444002674937365,0.0069828476824331425,99.88425925925925,0.22645836806579545,0.36216306963777806,99.76851851851852,6832.547577136876,942795.299806657,1,608.3797740936279,1.1797248738825072,1.5424336471851672,1.0942684319229106,1.0843953113725795,0.9275140835796392,0.8326054167755365
1000000,24,0.15,every,1.2067459878797444,0.015345284729805987,0.010974623293725843,100.0,0.3020143975126525,0.27056494760939515,100.0,28800.25809563317,915449.4627033898,289,608.0600600242615,1.33067128576747,1.562238984357966,1.1890115156708798,1.1913651317179268,1.0329386513491663,0.934250358415057
1000000,24,0.2,every,1.4293607452599275,0.017056316971663883,0.013710790639157568,100.0,0.371821593819035,0.28398513508746975,100.0,85877.10593947055,890708.2757555351,2537,606.6645340919495,1.5719718675426666,1.772347903421151,1.389308154429801,1.429269763950451,1.2545136847825675,1.1587530974329265
1000000,24,0.25,every,1.6643254894308754,0.019104208996835296,0.016194794387352593,100.0,0.43779837592147847,0.3145221599399895,100.0,174881.35493101043,868136.1783743794,7634,607.5055711269379,1.8341559828130478,2.00215670156118,1.5874038700936812,1.6961968796925557,1.492156967732911,1.3738825346918793
1000000,24,0.3,every,1.9056406322825878,0.021315122316955416,0.018510211816097015,100.0,0.5007572024629064,0.3389024532716854,100.0,267027.6123890555,847396.4512084298,12975,606.9802930355072,2.1055934383526287,2.2365767614824907,1.800832512858704,1.9646346909856016,1.7309389724938722,1.5952674175222308
1000000,32,0.1,every,1.111888806411688,0.01945625799833788,0.006985970564081988,99.88425925925925,0.22643937365688163,0.36528488657383945,99.76851851851852,6832.547577136876,942795.299806657,1,689.0593519210815,1.1836513686489893,1.5432852114813298,1.0936926673994836,1.0874790025284318,0.9297469316550575,0.8334776567568372
1000000,32,0.15,every,1.2087661234828166,0.015389607487332512,0.010997107715370965,100.0,0.301968713029159,0.2764186070022188,100.0,28800.25809563317,915449.4627033898,268,691.5816490650177,1.3318318476826254,1.5655953870337587,1.1890632837861665,1.1948295693045725,1.0342654487449416,0.9370112043448349
1000000,32,0.2,every,1.4250322862182425,0.017015524204899334,0.013671518863925912,100.0,0.37180871405835253,0.2895643561262245,100.0,85877.10593947055,890708.2757555351,2349,689.2849009037018,1.5661347426829824,1.7694862964822946,1.3838838470906953,1.4237608006172147,1.2503248319928864,1.156603198443382
1000000,32,0.25,every,1.663836341133419,0.019156054357324183,0.016198284474169242,100.0,0.4377314866301476,0.31410198612425605,100.0,174881.35493101043,868136.1783743794,6956,689.8067798614502,1.830428850464368,2.001306181598578,1.5882149392219367,1.6953816120965373,1.4923944989392994,1.3752919644797936
1000000,32,0.3,every,1.9052196655173796,0.021295409705552697,0.018500682267755753,100.0,0.5006851965135247,0.3433970094702334,100.0,267027.6123890555,847396.4512084298,11267,690.0392649173737,2.103247815615974,2.232591268114853,1.7984229750788092,1.9651757032281578,1.7335027718399774,1.5983774592265072
1000000,wh,0.1,every,1.1093343034010472,0.019376624501587284,0.00698780829980624,99.88425925925925,0.22642576073982734,0.37118759779575733,99.76851851851852,6832.547577136876,942795.299806657,1,1339.4265608787537,1.1802072615327501,1.5379667618174997,1.0931930505064067,1.0850703699369635,0.9280564841512354,0.8315118924614278
1000000,wh,0.15,every,1.2040958651790434,0.015361591614425539,0.010924754262031981,100.0,0.30211286690880557,0.2807005495083241,100.0,28800.25809563317,915449.4627033898,193,1342.6931250095367,1.3329547679538982,1.5535501616423761,1.1882765354155542,1.1877752113591704,1.0285580193340094,0.933460495369252
1000000,wh,0.2,every,1.426854648802829,0.017009110191268436,0.013684084784865332,100.0,0.37194718536655663,0.2946257288229498,100.0,85877.10593947055,890708.2757555351,1557,1341.924605846405,1.5706431789051198,1.76970931099168,1.3889905200004997,1.4257352216875252,1.2508399538302206,1.1552097074019294
1000000,wh,0.25,every,1.6620623348892891,0.019156457172667403,0.01616674984523168,100.0,0.4377826582443112,0.3306398765680363,100.0,174881.35493101043,868136.1783743794,3549,1343.3210649490356,1.8344501701609173,1.993371844750475,1.5912612406846314,1.6895501413041456,1.4943141195529221,1.3694264928826427
1000000,wh,0.3,every,1.9175516827990675,0.021504236822662365,0.018620085386848877,100.0,0.5003012842371423,0.34099866237721427,100.0,267027.6123890555,847396.4512084298,4495,1340.9123740196228,2.1157603137815557,2.243607361681217,1.8173480330866076,1.97674317960515,1.7441765863572494,1.6076746222826246
100000,16,0.15,adaptive,1.827639423426653,0.01984612478946419,0.016574452332092936,100.0,0.3201882198649406,0.29540859047181156,100.0,2690.9863459730886,64065.0447584685,36,35.6389479637146,1.9388171781390902,2.1434698685664384,1.8088609020017428,1.8064953825093113,1.6844861165271259,1.5837070928162105
1000000,16,0.15,adaptive,1.8430705278511805,0.02017972927748887,0.016378010606764123,100.0,0.31952091684504685,0.2982506509732476,100.0,29072.085275560534,641387.6852614197,417,363.1002869606018,1.9606193567447021,2.178338923594854,1.8187442016660436,1.8320419026094346,1.699733041152845,1.5689457413392036
