Np,L,day,age_group,uniq
100000,16,122,45-64,5736
100000,16,122,65+,6098
100000,16,123,0-5,6515
100000,16,123,6-11,7126
100000,16,123,12-17,6041
100000,16,123,18-44,5593
100000,16,123,45-64,5688
100000,16,123,65+,6131
100000,16,124,0-5,6539
100000,16,124,6-11,7189
100000,16,124,12-17,6068
100000,16,124,18-44,5636
100000,16,124,45-64,5683
100000,16,124,65+,6187
100000,16,125,0-5,6551
100000,16,125,6-11,7204
100000,16,125,12-17,6106
100000,16,125,18-44,5610
100000,16,125,45-64,5714
100000,16,125,65+,6201
100000,16,126,0-5,6580
100000,16,126,6-11,7276
100000,16,126,12-17,6164
100000,16,126,18-44,5592
100000,16,126,45-64,5753
100000,16,126,65+,6229
100000,16,127,0-5,6630
100000,16,127,6-11,7296
100000,16,127,12-17,6237
100000,16,127,18-44,5577
100000,16,127,45-64,5753
100000,16,127,65+,6265
100000,16,128,0-5,6734
100000,16,128,6-11,7357
100000,16,128,12-17,6310
100000,16,128,18-44,5570
100000,16,128,45-64,5786
100000,16,128,65+,6291
100000,16,129,0-5,6762
100000,16,129,6-11,7390
100000,16,129,12-17,6351
100000,16,129,18-44,5578
100000,16,129,45-64,5845
100000,16,129,65+,6313
100000,16,130,0-5,6799
100000,16,130,6-11,7466
100000,16,130,12-17,6343
100000,16,130,18-44,5569
100000,16,130,45-64,5879
100000,16,130,65+,6291
100000,16,131,0-5,6897
100000,16,131,6-11,7538
100000,16,131,12-17,6404
100000,16,131,18-44,5566
100000,16,131,45-64,5825
100000,16,131,65+,6316
100000,16,132,0-5,6974
100000,16,132,6-11,7579
100000,16,132,12-17,6396
100000,16,132,18-44,5587
100000,16,132,45-64,5824
100000,16,132,65+,6346
100000,16,133,0-5,7032
100000,16,133,6-11,7634
100000,16,133,12-17,6467
100000,16,133,18-44,5584
100000,16,133,45-64,5835
100000,16,133,65+,6407
100000,16,134,0-5,7504
100000,16,134,6-11,8135
100000,16,134,12-17,6913
100000,16,134,18-44,5971
100000,16,134,45-64,6226
100000,16,134,65+,6822
100000,16,135,0-5,8054
100000,16,135,6-11,8730
100000,16,135,12-17,7423
100000,16,135,18-44,6380
100000,16,135,45-64,6697
100000,16,135,65+,7302
100000,16,136,0-5,8691
100000,16,136,6-11,9415
100000,16,136,12-17,8018
100000,16,136,18-44,6889
100000,16,136,45-64,7219
100000,16,136,65+,7845
100000,16,137,0-5,9404
100000,16,137,6-11,10217
100000,16,137,12-17,8699
100000,16,137,18-44,7456
100000,16,137,45-64,7787
100000,16,137,65+,8492
100000,16,138,0-5,10275
100000,16,138,6-11,11123
100000,16,138,12-17,9455
100000,16,138,18-44,8105
100000,16,138,45-64,8441
100000,16,138,65+,9209
100000,16,139,0-5,11267
100000,16,139,6-11,12218
100000,16,139,12-17,10387
100000,16,139,18-44,8886
100000,16,139,45-64,9222
100000,16,139,65+,10077
100000,16,140,0-5,12374
100000,16,140,6-11,13463
100000,16,140,12-17,11473
100000,16,140,18-44,9858
100000,16,140,45-64,10216
100000,16,140,65+,11121
100000,16,141,0-5,13800
100000,16,141,6-11,14995
100000,16,141,12-17,12908
100000,16,141,18-44,11108
100000,16,141,45-64,11473
100000,16,141,65+,12384
100000,16,142,0-5,15535
100000,16,142,6-11,16843
100000,16,142,12-17,14615
100000,16,142,18-44,12633
100000,16,142,45-64,13030
100000,16,142,65+,14054
100000,16,143,0-5,17784
100000,16,143,6-11,19051
100000,16,143,12-17,16867
100000,16,143,18-44,14600
100000,16,143,45-64,15026
100000,16,143,65+,16156
100000,16,144,0-5,20561
100000,16,144,6-11,21856
100000,16,144,12-17,19646
100000,16,144,18-44,17247
100000,16,144,45-64,17651
100000,16,144,65+,18916
100000,16,145,0-5,24100
100000,16,145,6-11,25337
100000,16,145,12-17,23365
100000,16,145,18-44,20791
100000,16,145,45-64,21235
100000,16,145,65+,22574
100000,16,146,0-5,28949
100000,16,146,6-11,29995
100000,16,146,12-17,28244
100000,16,146,18-44,25768
100000,16,146,45-64,26213
100000,16,146,65+,27624
100000,16,147,0-5,35551
100000,16,147,6-11,36485
100000,16,147,12-17,35045
100000,16,147,18-44,32882
100000,16,147,45-64,33265
100000,16,147,65+,34616
100000,16,148,0-5,45556
100000,16,148,6-11,46180
100000,16,148,12-17,45181
100000,16,148,18-44,43710
100000,16,148,45-64,43779
100000,16,148,65+,44815
100000,16,149,0-5,62409
100000,16,149,6-11,62628
100000,16,149,12-17,62420
100000,16,149,18-44,61637
100000,16,149,45-64,61442
100000,16,149,65+,62084
100000,24,1,0-5,2531
100000,24,1,6-11,27
100000,24,1,12-17,660
100000,24,1,18-44,3602
100000,24,1,45-64,2945
100000,24,1,65+,2348
100000,24,2,0-5,2720
100000,24,2,6-11,32
100000,24,2,12-17,816
100000,24,2,18-44,3701
100000,24,2,45-64,3235
100000,24,2,65+,2637
100000,24,3,0-5,3080
100000,24,3,6-11,121
100000,24,3,12-17,1375
100000,24,3,18-44,3867
100000,24,3,45-64,3797
100000,24,3,65+,3174
100000,24,4,0-5,3566
100000,24,4,6-11,2171
100000,24,4,12-17,3042
100000,24,4,18-44,4029
100000,24,4,45-64,4122
100000,24,4,65+,3687
100000,24,5,0-5,3751
100000,24,5,6-11,3169
100000,24,5,12-17,3536
100000,24,5,18-44,4064
100000,24,5,45-64,4229
100000,24,5,65+,4014
100000,24,6,0-5,3792
100000,24,6,6-11,3313
100000,24,6,12-17,3649
100000,24,6,18-44,4092
100000,24,6,45-64,4234
100000,24,6,65+,4199
100000,24,7,0-5,3818
100000,24,7,6-11,3336
100000,24,7,12-17,3657
100000,24,7,18-44,4077
100000,24,7,45-64,4253
100000,24,7,65+,4290
100000,24,8,0-5,3835
100000,24,8,6-11,3353
100000,24,8,12-17,3661
100000,24,8,18-44,4090
100000,24,8,45-64,4272
100000,24,8,65+,4331
100000,24,9,0-5,3834
100000,24,9,6-11,3367
100000,24,9,12-17,3653
100000,24,9,18-44,4081
100000,24,9,45-64,4270
100000,24,9,65+,4338
100000,24,10,0-5,3821
100000,24,10,6-11,3386
100000,24,10,12-17,3645
100000,24,10,18-44,4091
100000,24,10,45-64,4253
100000,24,10,65+,4355
100000,24,11,0-5,3833
100000,24,11,6-11,3389
100000,24,11,12-17,3645
100000,24,11,18-44,4095
100000,24,11,45-64,4251
100000,24,11,65+,4319
100000,24,12,0-5,3851
100000,24,12,6-11,3420
100000,24,12,12-17,3669
100000,24,12,18-44,4074
100000,24,12,45-64,4229
100000,24,12,65+,4305
